,Node A,Node B,Distance,,,,,,,,,,,,,,,,,,,,,,,,,
,16,30,15,,,,,,,,,,,,,,,,,,,,,,,,,
,30,29,15,,,,,,,,,,,,,,,,,,,,,,,,,
,30,31,10,,,,,,,,,,,,,,,,,,,,,,,,,
,29,L2_B,15,,,,,,,,,,,,,,,,,,,,,,,,,
,31,L2_B,10,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_19,31,10,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_19,32,10,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_19,33,20,,,,,,,,,,,,,,,,,,,,,,,,,
,32,33,18,,,,,,,,,,,,,,,,,,,,,,,,,
,32,L2_13,15,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_28,L4_28,300,,,,,,,,,,,,,,,,,,,,,,,,,
,L4_28,34,2,,,,,,,,,,,,,,,,,,,,,,,,,
,34,37,5,,,,,,,,,,,,,,,,,,,,,,,,,
,37,35,20,,,,,,,,,,,,,,,,,,,,,,,,,
,35,36,5,,,,,,,,,,,,,,,,,,,,,,,,,
,36,38,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L1_4,L4_4,300,,,,,,,,,,,,,,,,,,,,,,,,,
,L4_4,38,3,,,,,,,,,,,,,,,,,,,,,,,,,
,L4_28,L5_28,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L5_28,39,30,,,,,,,,,,,,,,,,,,,,,,,,,
,39,40,5,,,,,,,,,,,,,,,,,,,,,,,,,
,40,41,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L4_4,L5_4,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L5_4,41,3,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_16,L3_16,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_7,L3_7,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_16,L3_16,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_19,L3_19,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_13,L3_13,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L2_B,L3_B,100,,,,,,,,,,,,,,,,,,,,,,,,,
,L3_7,42,3,,,,,,,,,,,,,,,,,,,,,,,,,
,42,L3_B,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L3_B,47,8,,,,,,,,,,,,,,,,,,,,,,,,,
,47,L3_13,15,,,,,,,,,,,,,,,,,,,,,,,,,
,L3_B,45,5,,,,,,,,,,,,,,,,,,,,,,,,,
,45,L3_19,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L3_19,40,5,,,,,,,,,,,,,,,,,,,,,,,,,
,L3_B,43,10,,,,,,,,,,,,,,,,,,,,,,,,,
,43,48,10,,,,,,,,,,,,,,,,,,,,,,,,,
,43,44,5,,,,,,,,,,,,,,,,,,,,,,,,,
,43,45,7,,,,,,,,,,,,,,,,,,,,,,,,,
,43,L3_16,7,,,,,,,,,,,,,,,,,,,,,,,,,
,48,L3_16,5,,,,,,,,,,,,,,,,,,,,,,,,,
